unix,date,symbol,open,high,low,close
1693936800,05.09.23 18:00,BTC/USD,25737,25751,25696,25731
1693933200,05.09.23 17:00,BTC/USD,25734,25763,25692,25730
1693929600,05.09.23 16:00,BTC/USD,25739,25819,25719,25742
1693926000,05.09.23 15:00,BTC/USD,25694,25862,25661,25738
1693922400,05.09.23 14:00,BTC/USD,25723,25751,25621,25694
1693918800,05.09.23 13:00,BTC/USD,25807,25811,25723,25724
1693915200,05.09.23 12:00,BTC/USD,25761,25813,25684,25807
1693911600,05.09.23 11:00,BTC/USD,25741,25773,25729,25762
1693908000,05.09.23 10:00,BTC/USD,25746,25788,25735,25738
1693904400,05.09.23 09:00,BTC/USD,25698,25772,25683,25741
1693900800,05.09.23 08:00,BTC/USD,25720,25775,25642,25696
1693897200,05.09.23 07:00,BTC/USD,25676,25720,25670,25719
1693893600,05.09.23 06:00,BTC/USD,25723,25729,25668,25673
1693890000,05.09.23 05:00,BTC/USD,25682,25734,25676,25722
1693886400,05.09.23 04:00,BTC/USD,25673,25704,25662,25682
1693882800,05.09.23 03:00,BTC/USD,25656,25673,25547,25670
1693879200,05.09.23 02:00,BTC/USD,25742,25743,25655,25656
1693875600,05.09.23 01:00,BTC/USD,25753,25793,25733,25740
1693872000,05.09.23 00:00,BTC/USD,25827,25831,25725,25760
1693868400,04.09.23 23:00,BTC/USD,25765,25840,25756,25819
1693864800,04.09.23 22:00,BTC/USD,25661,25785,25646,25769
1693861200,04.09.23 21:00,BTC/USD,25830,25832,25646,25673
1693857600,04.09.23 20:00,BTC/USD,25885,25904,25800,25828
1693854000,04.09.23 19:00,BTC/USD,25906,25909,25848,25886
1693850400,04.09.23 18:00,BTC/USD,25902,25935,25875,25907
1693846800,04.09.23 17:00,BTC/USD,25853,25919,25839,25892
1693843200,04.09.23 16:00,BTC/USD,25808,25858,25801,25850
1693839600,04.09.23 15:00,BTC/USD,25837,25946,25729,25808
1693836000,04.09.23 14:00,BTC/USD,25878,25899,25831,25845
1693832400,04.09.23 13:00,BTC/USD,25846,25896,25835,25877
1693828800,04.09.23 12:00,BTC/USD,25880,25891,25822,25851
1693825200,04.09.23 11:00,BTC/USD,25904,25935,25869,25882
1693821600,04.09.23 10:00,BTC/USD,25944,25954,25884,25903
1693818000,04.09.23 09:00,BTC/USD,25972,25977,25911,25944
1693814400,04.09.23 08:00,BTC/USD,25954,25996,25951,25972
1693810800,04.09.23 07:00,BTC/USD,25958,25993,25952,25952
1693807200,04.09.23 06:00,BTC/USD,25936,25977,25916,25960
1693803600,04.09.23 05:00,BTC/USD,25980,25985,25937,25937
1693800000,04.09.23 04:00,BTC/USD,25990,26005,25972,25981
1693796400,04.09.23 03:00,BTC/USD,25981,26081,25973,25988
1693792800,04.09.23 02:00,BTC/USD,25903,26002,25895,25981
1693789200,04.09.23 01:00,BTC/USD,25902,25921,25878,25902
1693785600,04.09.23 00:00,BTC/USD,25972,25974,25899,25906
1693782000,03.09.23 23:00,BTC/USD,25958,25977,25934,25970
1693778400,03.09.23 22:00,BTC/USD,25965,25984,25940,25951
1693774800,03.09.23 21:00,BTC/USD,26052,26057,25956,25967
1693771200,03.09.23 20:00,BTC/USD,26002,26112,25962,26044
1693767600,03.09.23 19:00,BTC/USD,25935,26002,25931,26002
1693764000,03.09.23 18:00,BTC/USD,25887,26012,25881,25930
1693760400,03.09.23 17:00,BTC/USD,25834,25887,25829,25887
1693756800,03.09.23 16:00,BTC/USD,25870,25893,25807,25848
1693753200,03.09.23 15:00,BTC/USD,25922,25927,25855,25872
1693749600,03.09.23 14:00,BTC/USD,25893,25935,25887,25926
1693746000,03.09.23 13:00,BTC/USD,25898,25940,25828,25894
1693742400,03.09.23 12:00,BTC/USD,25940,26071,25894,25901
1693738800,03.09.23 11:00,BTC/USD,25930,25939,25910,25938
1693735200,03.09.23 10:00,BTC/USD,25908,25930,25896,25930
1693731600,03.09.23 09:00,BTC/USD,25885,25932,25878,25908
1693728000,03.09.23 08:00,BTC/USD,25946,25946,25884,25885
1693724400,03.09.23 07:00,BTC/USD,25908,25946,25905,25946
1693720800,03.09.23 06:00,BTC/USD,25897,25936,25894,25906
1693717200,03.09.23 05:00,BTC/USD,25876,25903,25875,25896
1693713600,03.09.23 04:00,BTC/USD,25864,25882,25864,25878
1693710000,03.09.23 03:00,BTC/USD,25861,25872,25853,25864
1693706400,03.09.23 02:00,BTC/USD,25857,25879,25856,25861
1693702800,03.09.23 01:00,BTC/USD,25865,25896,25856,25864
1693699200,03.09.23 00:00,BTC/USD,25870,25873,25836,25865
1693695600,02.09.23 23:00,BTC/USD,25863,25899,25856,25870
1693692000,02.09.23 22:00,BTC/USD,25859,25865,25845,25863
1693688400,02.09.23 21:00,BTC/USD,25844,25881,25839,25860
1693684800,02.09.23 20:00,BTC/USD,25825,25844,25821,25844
1693681200,02.09.23 19:00,BTC/USD,25812,25840,25801,25836
1693677600,02.09.23 18:00,BTC/USD,25814,25822,25764,25812
1693674000,02.09.23 17:00,BTC/USD,25861,25874,25813,25813
1693670400,02.09.23 16:00,BTC/USD,25900,25937,25852,25859
1693666800,02.09.23 15:00,BTC/USD,25864,25980,25864,25906
1693663200,02.09.23 14:00,BTC/USD,25826,25887,25809,25864
1693659600,02.09.23 13:00,BTC/USD,25806,25844,25787,25826
1693656000,02.09.23 12:00,BTC/USD,25809,25833,25801,25809
1693652400,02.09.23 11:00,BTC/USD,25831,25854,25792,25810
1693648800,02.09.23 10:00,BTC/USD,25805,25847,25804,25829
1693645200,02.09.23 09:00,BTC/USD,25777,25815,25772,25802
1693641600,02.09.23 08:00,BTC/USD,25789,25796,25769,25779
1693638000,02.09.23 07:00,BTC/USD,25794,25822,25775,25789
1693634400,02.09.23 06:00,BTC/USD,25810,25821,25785,25794
1693630800,02.09.23 05:00,BTC/USD,25770,25828,25770,25810
1693627200,02.09.23 04:00,BTC/USD,25787,25797,25756,25769
1693623600,02.09.23 03:00,BTC/USD,25753,25795,25753,25786
1693620000,02.09.23 02:00,BTC/USD,25767,25789,25753,25753
1693616400,02.09.23 01:00,BTC/USD,25783,25808,25767,25770
1693612800,02.09.23 00:00,BTC/USD,25801,25832,25781,25783
1693609200,01.09.23 23:00,BTC/USD,25759,25828,25753,25798
1693605600,01.09.23 22:00,BTC/USD,25792,25814,25759,25759
1693602000,01.09.23 21:00,BTC/USD,25755,25844,25727,25794
1693598400,01.09.23 20:00,BTC/USD,25628,25890,25561,25758
1693594800,01.09.23 19:00,BTC/USD,25639,25659,25574,25622
1693591200,01.09.23 18:00,BTC/USD,25463,25793,25439,25637
1693587600,01.09.23 17:00,BTC/USD,25770,25779,25333,25467
1693584000,01.09.23 16:00,BTC/USD,25798,25939,25754,25768
1693580400,01.09.23 15:00,BTC/USD,25710,25914,25585,25799
1693576800,01.09.23 14:00,BTC/USD,25984,25990,25704,25711
1693573200,01.09.23 13:00,BTC/USD,26049,26052,25873,25989
1693569600,01.09.23 12:00,BTC/USD,26036,26134,25989,26049
1693566000,01.09.23 11:00,BTC/USD,25990,26052,25974,26039
1693562400,01.09.23 10:00,BTC/USD,26022,26030,25980,25992
1693558800,01.09.23 09:00,BTC/USD,25972,26030,25963,26020
1693555200,01.09.23 08:00,BTC/USD,25982,26004,25953,25972
1693551600,01.09.23 07:00,BTC/USD,25984,26010,25974,25982
1693548000,01.09.23 06:00,BTC/USD,26019,26032,25964,25988
1693544400,01.09.23 05:00,BTC/USD,26033,26049,26012,26019
1693540800,01.09.23 04:00,BTC/USD,26072,26083,26025,26033
1693537200,01.09.23 03:00,BTC/USD,26049,26081,26027,26071
1693533600,01.09.23 02:00,BTC/USD,25978,26077,25978,26049
1693530000,01.09.23 01:00,BTC/USD,26044,26044,25975,25978
1693526400,01.09.23 00:00,BTC/USD,25927,26046,25927,26035
1693522800,31.08.23 23:00,BTC/USD,26041,26047,25920,25932
1693519200,31.08.23 22:00,BTC/USD,26022,26051,25968,26037
1693515600,31.08.23 21:00,BTC/USD,26012,26061,25683,26022
1693512000,31.08.23 20:00,BTC/USD,26147,26188,25969,26007
1693508400,31.08.23 19:00,BTC/USD,26283,26314,25946,26181
1693504800,31.08.23 18:00,BTC/USD,26326,26385,26190,26285
1693501200,31.08.23 17:00,BTC/USD,26238,26389,26143,26322
1693497600,31.08.23 16:00,BTC/USD,26916,26921,26235,26238
1693494000,31.08.23 15:00,BTC/USD,27172,27178,26814,26918
1693490400,31.08.23 14:00,BTC/USD,27142,27182,27027,27175
1693486800,31.08.23 13:00,BTC/USD,27193,27200,27078,27146
1693483200,31.08.23 12:00,BTC/USD,27307,27308,27058,27194
1693479600,31.08.23 11:00,BTC/USD,27203,27537,27201,27307
1693476000,31.08.23 10:00,BTC/USD,27199,27217,27192,27205
1693472400,31.08.23 09:00,BTC/USD,27231,27231,27192,27199
1693468800,31.08.23 08:00,BTC/USD,27255,27268,27220,27230
1693465200,31.08.23 07:00,BTC/USD,27249,27283,27236,27255
1693461600,31.08.23 06:00,BTC/USD,27244,27275,27227,27249
1693458000,31.08.23 05:00,BTC/USD,27250,27268,27219,27243
1693454400,31.08.23 04:00,BTC/USD,27209,27265,27209,27253
1693450800,31.08.23 03:00,BTC/USD,27191,27210,27180,27210
1693447200,31.08.23 02:00,BTC/USD,27195,27233,27188,27191
1693443600,31.08.23 01:00,BTC/USD,27218,27238,27183,27195
1693440000,31.08.23 00:00,BTC/USD,27302,27302,27194,27220
1693436400,30.08.23 23:00,BTC/USD,27236,27320,27230,27300
1693432800,30.08.23 22:00,BTC/USD,27270,27322,27239,27240
1693429200,30.08.23 21:00,BTC/USD,27258,27328,27252,27263
1693425600,30.08.23 20:00,BTC/USD,27198,27279,27186,27250
1693422000,30.08.23 19:00,BTC/USD,27271,27279,27174,27178
1693418400,30.08.23 18:00,BTC/USD,27167,27281,27082,27275
1693414800,30.08.23 17:00,BTC/USD,27153,27249,27116,27168
1693411200,30.08.23 16:00,BTC/USD,27197,27212,27045,27152
1693407600,30.08.23 15:00,BTC/USD,27113,27284,27006,27204
1693404000,30.08.23 14:00,BTC/USD,27370,27418,27019,27108
1693400400,30.08.23 13:00,BTC/USD,27344,27452,27187,27365
