unix,date,symbol,open,high,low,close
1693940400,05.09.23 19:00,ETH/USD,1635.9,1638.4,1631.5,1631.8
1693936800,05.09.23 18:00,ETH/USD,1635,1636.6,1632.4,1635.9
1693933200,05.09.23 17:00,ETH/USD,1635.6,1637.8,1633.2,1634.5
1693929600,05.09.23 16:00,ETH/USD,1635.6,1642.2,1634.9,1636.2
1693926000,05.09.23 15:00,ETH/USD,1629.6,1646.5,1629.5,1635.2
1693922400,05.09.23 14:00,ETH/USD,1630.1,1631.8,1625.2,1629.3
1693918800,05.09.23 13:00,ETH/USD,1636.5,1636.5,1629.5,1630
1693915200,05.09.23 12:00,ETH/USD,1634.2,1638.6,1629.1,1636.8
1693911600,05.09.23 11:00,ETH/USD,1633.2,1635.2,1631,1634.2
1693908000,05.09.23 10:00,ETH/USD,1631.8,1637.2,1631.4,1632.6
1693904400,05.09.23 09:00,ETH/USD,1624,1634.8,1623.4,1631.1
1693900800,05.09.23 08:00,ETH/USD,1623.8,1627.6,1620,1623.2
1693897200,05.09.23 07:00,ETH/USD,1620.7,1625.2,1620.7,1623.8
1693893600,05.09.23 06:00,ETH/USD,1624.8,1624.8,1620.8,1621.1
1693890000,05.09.23 05:00,ETH/USD,1621.6,1626.4,1620.9,1624.7
1693886400,05.09.23 04:00,ETH/USD,1617.3,1622.3,1616.9,1621.5
1693882800,05.09.23 03:00,ETH/USD,1617.1,1617.4,1609.2,1617.3
1693879200,05.09.23 02:00,ETH/USD,1621.9,1622.6,1616.8,1617.4
1693875600,05.09.23 01:00,ETH/USD,1625.5,1626,1619.1,1621.9
1693872000,05.09.23 00:00,ETH/USD,1629.5,1630.1,1624.4,1625.4
1693868400,04.09.23 23:00,ETH/USD,1623.2,1631.9,1622.8,1629.7
1693864800,04.09.23 22:00,ETH/USD,1620.7,1623.9,1616.3,1623.9
1693861200,04.09.23 21:00,ETH/USD,1628.2,1628.6,1618.4,1620.7
1693857600,04.09.23 20:00,ETH/USD,1630.7,1631.7,1626.2,1628.2
1693854000,04.09.23 19:00,ETH/USD,1630.4,1631.9,1627.3,1630.6
1693850400,04.09.23 18:00,ETH/USD,1630,1632.2,1628.8,1630.4
1693846800,04.09.23 17:00,ETH/USD,1628,1634.4,1627.1,1630
1693843200,04.09.23 16:00,ETH/USD,1625.4,1628.7,1625.2,1628.5
1693839600,04.09.23 15:00,ETH/USD,1628.8,1633.7,1618.2,1625.8
1693836000,04.09.23 14:00,ETH/USD,1632.3,1633.5,1628.1,1629.3
1693832400,04.09.23 13:00,ETH/USD,1629.6,1634.3,1629.6,1632.4
1693828800,04.09.23 12:00,ETH/USD,1631.3,1632.6,1628.2,1630.2
1693825200,04.09.23 11:00,ETH/USD,1635.1,1636,1631.1,1631.8
1693821600,04.09.23 10:00,ETH/USD,1636.6,1636.6,1633.4,1634.9
1693818000,04.09.23 09:00,ETH/USD,1638.7,1640,1635,1636.5
1693814400,04.09.23 08:00,ETH/USD,1638.6,1640.1,1637.9,1638.5
1693810800,04.09.23 07:00,ETH/USD,1637.1,1640,1637.1,1638.4
1693807200,04.09.23 06:00,ETH/USD,1635.1,1638.5,1634.5,1636.8
1693803600,04.09.23 05:00,ETH/USD,1638,1639,1634.8,1635.2
1693800000,04.09.23 04:00,ETH/USD,1637.5,1639.2,1636.9,1638
1693796400,04.09.23 03:00,ETH/USD,1638.4,1644.3,1637.4,1637.5
1693792800,04.09.23 02:00,ETH/USD,1632.9,1640.4,1632.6,1638.5
1693789200,04.09.23 01:00,ETH/USD,1634.7,1636.2,1631.9,1632.9
1693785600,04.09.23 00:00,ETH/USD,1635.5,1636.4,1634.2,1634.8
1693782000,03.09.23 23:00,ETH/USD,1635.7,1636.9,1633.9,1635.8
1693778400,03.09.23 22:00,ETH/USD,1636.4,1638,1633.4,1635.7
