unix,date,symbol,open,high,low,close
1693915200,05.09.23 12:00,MATIC/USD,0.56227,0.56227,0.5577,0.56107
1693911600,05.09.23 11:00,MATIC/USD,0.56282,0.56282,0.5609,0.5619
1693908000,05.09.23 10:00,MATIC/USD,0.55946,0.56289,0.55946,0.56289
1693904400,05.09.23 09:00,MATIC/USD,0.5586,0.55967,0.5582,0.55967
1693900800,05.09.23 08:00,MATIC/USD,0.55502,0.55502,0.55502,0.55502
1693897200,05.09.23 07:00,MATIC/USD,0.55502,0.55502,0.55502,0.55502
1693893600,05.09.23 06:00,MATIC/USD,0.556,0.55745,0.556,0.55745
1693890000,05.09.23 05:00,MATIC/USD,0.5557,0.55802,0.5557,0.55717
1693886400,05.09.23 04:00,MATIC/USD,0.55375,0.5538,0.5536,0.5536
1693882800,05.09.23 03:00,MATIC/USD,0.5525,0.5525,0.5515,0.5515
1693879200,05.09.23 02:00,MATIC/USD,0.554,0.554,0.55215,0.55322
1693875600,05.09.23 01:00,MATIC/USD,0.55485,0.55722,0.5538,0.5538
1693872000,05.09.23 00:00,MATIC/USD,0.55597,0.55637,0.5538,0.5544
1693868400,04.09.23 23:00,MATIC/USD,0.55368,0.55406,0.55115,0.55406
1693864800,04.09.23 22:00,MATIC/USD,0.55001,0.5534,0.5485,0.5534
1693861200,04.09.23 21:00,MATIC/USD,0.55095,0.55107,0.5476,0.54981
1693857600,04.09.23 20:00,MATIC/USD,0.55168,0.55192,0.55017,0.55086
1693854000,04.09.23 19:00,MATIC/USD,0.55105,0.55105,0.5479,0.55098
1693850400,04.09.23 18:00,MATIC/USD,0.54925,0.55039,0.54726,0.55039
1693846800,04.09.23 17:00,MATIC/USD,0.54825,0.55108,0.54825,0.54995
1693843200,04.09.23 16:00,MATIC/USD,0.54645,0.5496,0.54582,0.54885
1693839600,04.09.23 15:00,MATIC/USD,0.54722,0.54808,0.54432,0.54501
1693836000,04.09.23 14:00,MATIC/USD,0.54943,0.55088,0.54731,0.5478
1693832400,04.09.23 13:00,MATIC/USD,0.54051,0.55246,0.54051,0.55243
1693828800,04.09.23 12:00,MATIC/USD,0.54084,0.54234,0.5401,0.54051
1693825200,04.09.23 11:00,MATIC/USD,0.54451,0.54451,0.54112,0.54137
